2017-09-18 22:08:40,578 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-09-18 22:09:12,169 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-09-18 22:09:13,413 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.furb:servicoja-backend:0.0.1-SNAPSHOT @ E:\Furb\Programação III\servicoja-master-718b41ada0fd22d5be5de2d65dc9774eb38f8b1a\servicoja-backend\pom.xml.
2017-09-18 22:09:15,399 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /servicoja-backend/src/main/java
2017-09-18 22:09:15,401 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /servicoja-backend/src/main/resources
2017-09-18 22:09:15,633 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /servicoja-backend/src/test/java
2017-09-18 22:09:16,697 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-18 22:09:16,706 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-09-18 22:09:16,719 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-18 22:09:16,720 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Furb\Programação III\servicoja-master-718b41ada0fd22d5be5de2d65dc9774eb38f8b1a\servicoja-backend\src\test\resources
2017-09-18 22:09:17,484 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 5 sec
2017-09-18 22:09:19,203 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-18 22:09:19,205 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-18 22:09:19,207 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-18 22:09:19,208 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Furb\Programação III\servicoja-master-718b41ada0fd22d5be5de2d65dc9774eb38f8b1a\servicoja-backend\src\test\resources
2017-09-18 22:09:21,968 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-09-18 22:09:22,448 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.furb:servicoja-backend:0.0.1-SNAPSHOT @ E:\Furb\Programação III\servicoja-master-718b41ada0fd22d5be5de2d65dc9774eb38f8b1a\servicoja-backend\pom.xml.
2017-09-18 22:09:23,592 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /servicoja-backend/src/main/java
2017-09-18 22:09:23,592 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /servicoja-backend/src/main/resources
2017-09-18 22:09:23,593 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /servicoja-backend/src/test/java
2017-09-18 22:09:23,987 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2017-09-18 22:09:25,048 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-18 22:09:25,050 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
